h2_0,h2_5,h3_0,h3_5,h4_0,h4_5,h5_0,h5_5,h6_0,h6_5,h7_0,h7_5,h8_0,h8_5,h9_0,h9_5,h10_0,h10_5,h11_0,h11_5,h12_0,h12_5,h13_0,h13_5,h14_0,h14_5,h15_0,h15_5,h16_0,h16_5,h17_0,h17_5,h18_0,h18_5,h19_0,h19_5,h20_0,h20_5,h21_0,h21_5,h22_0,h22_5,h23_0,h23_5,h24_0,h24_5,h25_0,h25_5,h26_0,h26_5,h27_0,h27_5,h28_0,h28_5,h29_0,h29_5,h30_0,h30_5,h31_0,h31_5,h32_0,h32_5,h33_0,h33_5,h34_0,h34_5,h35_0,h35_5,h36_0,h36_5,h37_0,h37_5,h38_0,h38_5,h39_0,h39_5,h40_0
4.92108969,4.059174573,3.013491128,1.771002436,0.347029976,-1.156076096,-2.436096725,-2.973303978,-2.487231049,-1.331774332,-0.014340419,1.193528927,2.204101173,3.006034039,3.612585404,4.043111462,4.317546515,4.455443973,4.476533662,4.401627152,4.253231212,4.055281124,3.831409257,3.60147102,3.376865881,3.156206785,2.923188019,2.647409093,2.287079251,1.791424499,1.100903334,0.144628609,-1.162414509,-2.904638764,-5.031832433,-6.717811965,-6.005988602,-3.35680368,-0.623608136,1.668177148,3.526670319,5.031138486,6.249649199,7.232620306,8.017030923,8.630699115,9.095410874,9.429135092,9.647663128,9.765919766,9.799092548,9.76362878,9.678033946,9.563259063,9.442314893,9.338703945,9.273499629,9.261538532,9.307982309,9.406779786,9.541806976,9.690096214,9.825660993,9.922552075,9.956540202,9.905509638,9.748944438,9.466874305,9.038513956,8.440728654,7.646522173,6.624295512,5.340833819,3.779116026,2.009147356,0.397991827,-0.192562715
3.700187409,2.596661492,1.320852975,-0.053416066,-1.29841352,-1.973759006,-1.708003751,-0.666486592,0.674844516,1.988394611,3.144010431,4.110372866,4.892253658,5.504992081,5.965659639,6.290458821,6.494296048,6.591031609,6.593828518,6.515331778,6.367507612,6.161019944,5.904095302,5.600955251,5.250044206,4.842351707,4.360006071,3.774950989,3.0469394,2.119240841,0.908831037,-0.716637127,-2.998088401,-6.469224546,-12.71830686,-18.07800386,-8.735812297,-3.78815913,-0.63931887,1.607984049,3.298529283,4.598890418,5.601917021,6.364734088,6.92533563,7.310945057,7.542857764,7.639751447,7.620426737,7.506467874,7.324938111,7.110669384,6.906823189,6.761520409,6.718810215,6.805744056,7.022367013,7.34178987,7.720289974,8.110237862,8.469093637,8.762780734,8.965211582,9.056204196,9.019186882,8.839302597,8.50218324,7.993782827,7.302385251,6.425873626,5.391924125,4.305599562,3.42586849,3.157069323,3.73219187,4.923673317,6.327697437
2.127258917,0.796189225,-0.545514433,-1.545935881,-1.712925116,-0.919463607,0.417155634,1.854275355,3.176814659,4.319059093,5.275101707,6.05783149,6.684096637,7.169996634,7.529731336,7.775615241,7.918402296,7.967607213,7.931695567,7.818079148,7.632881671,7.380467491,7.062763948,6.678452454,6.222138108,5.683615356,5.047332365,4.292181391,3.391995062,2.318134672,1.048867143,-0.399900252,-1.886425469,-2.97955675,-3.03466693,-1.959778886,-0.368494677,1.224075479,2.61867608,3.772124691,4.690922528,5.392470965,5.893364296,6.206483066,6.340774921,6.301875879,6.093181012,5.717624363,5.181017673,4.498685457,3.708296619,2.891381066,2.196138337,1.823205873,1.922230428,2.466143588,3.275971918,4.157956881,4.981619794,5.678015771,6.215121934,6.578603635,6.76102566,6.75660125,6.559197065,6.162937839,5.566735545,4.787421868,3.89185972,3.058623262,2.625554423,2.934520649,3.9732649,5.393434619,6.870201327,8.23875018,9.441906063
0.239783306,-1.114864159,-1.93204011,-1.702223871,-0.535034587,1.004713601,2.521986976,3.870299432,5.020308565,5.981366208,6.772136787,7.41127857,7.914999803,8.296806486,8.567868277,8.737481906,8.813462865,8.80241222,8.709844041,8.540175828,8.296600469,7.980882423,7.593157474,7.131869251,6.594059708,5.97637873,5.277459936,4.502821305,3.674143792,2.844681215,2.117572416,1.646433381,1.579147493,1.954067461,2.663286724,3.535168141,4.426053416,5.247329702,5.952988407,6.521588212,6.943731285,7.214947891,7.331863877,7.290030812,7.082450287,6.698204698,6.120746321,5.325341254,4.274890485,2.912744963,1.150132677,-1.153733509,-4.195037137,-7.877885286,-9.436927889,-6.666417393,-3.617251288,-1.382768926,0.180057218,1.235287153,1.883118048,2.178678319,2.148445267,1.801713987,1.144716233,0.214544936,-0.826856724,-1.514050387,-1.154236513,0.34300612,2.329385605,4.287076017,6.029879623,7.526684271,8.79342791,9.855605588,10.7376255
-1.723481978,-2.448752669,-1.931979202,-0.482133055,1.225682323,2.827969517,4.220647034,5.397238623,6.377444534,7.184407862,7.83863763,8.356986323,8.753017617,9.037649169,9.219748245,9.306602484,9.304261429,9.217766451,9.051297034,8.808275142,8.491494155,8.103381311,7.646571348,7.125074569,6.546467799,5.925671337,5.290752779,4.690075903,4.196648013,3.899882844,3.875411372,4.144169076,4.657030091,5.321967528,6.045083075,6.754144733,7.401897941,7.96022242,8.413213318,8.751948366,8.971097645,9.066847248,9.035621377,8.873239994,8.574277004,8.131462184,7.535007428,6.771745063,5.823951511,4.6677072,3.27066882,1.589448747,-0.431492199,-2.849405595,-5.654589913,-8.476714941,-10.09778384,-9.8096833,-8.896321086,-8.401508124,-8.687365551,-10.03399107,-13.06815185,-18.74207806,-15.05516966,-8.215528029,-3.744841175,-0.501668184,2.016960907,4.047199092,5.717147068,7.103966019,8.257822893,9.213342436,9.995706726,10.62423371,11.11469689
-3.07219083,-2.360899625,-0.682564071,1.177502601,2.869834532,4.318757502,5.53416582,6.543655693,7.374042089,8.047501036,8.581588554,8.990099083,9.283948501,9.4718971,9.561101763,9.557530408,9.466281889,9.291861278,9.038474893,8.710437958,8.312835662,7.85264816,7.340628986,6.794249733,6.241786811,5.726667993,5.308960788,5.05811005,5.032468925,5.252805518,5.690080951,6.27927108,6.946245483,7.627735877,8.278088019,8.867568658,9.37800601,9.798727802,10.12361035,10.34915827,10.47332553,10.49482017,10.41271439,10.2262514,9.934790672,9.53786886,9.035380811,8.427907151,7.717233588,6.907116148,6.00433078,5.019973549,3.97080774,2.880185407,1.777886771,0.698692743,-0.318552937,-1.22646559,-1.953757785,-2.384913225,-2.370720476,-1.813354491,-0.766826989,0.586977397,2.055388818,3.505099057,4.863315712,6.096264809,7.191025227,8.144740666,8.958987278,9.637010185,10.18244845,10.5988354,10.88953994,11.05802277,11.1084085
-2.955280107,-1.064772127,0.947378985,2.733761558,4.243034911,5.500260159,6.540791052,7.39530207,8.087879873,8.63699575,9.056831632,9.358401566,9.550405652,9.639866112,9.632612482,9.533682511,9.347709697,9.079385523,8.734119453,8.319075038,7.844827667,7.327920975,6.794441977,6.284033118,5.852015619,5.56478687,5.483646051,5.64039058,6.020996011,6.572121992,7.224409826,7.914003958,8.592426104,9.226993742,9.797300237,10.29128822,10.70218794,11.026453,11.26247191,11.40980586,11.46876441,11.44019607,11.32541972,11.12625535,10.84513339,10.48527445,10.05093785,9.547740034,8.983042732,8.366408329,7.710120919,7.029782994,6.345025185,5.680389728,5.066378515,4.540297574,4.145684826,3.928084847,3.925304064,4.15410838,4.600904517,5.223918387,5.965875802,6.768633746,7.582631473,8.369981852,9.103552465,9.764546468,10.34001687,10.82084278,11.20023613,11.47268536,11.63321823,11.67689079,11.59845094,11.39217811,11.05198304
-1.59349815,0.591995698,2.484047041,4.05840553,5.357791287,6.426957412,7.301562126,8.008419238,8.567531868,8.993940889,9.299112276,9.491933504,9.579433736,9.56732973,9.460486658,9.263384308,8.980699649,8.618160759,8.183895935,7.690577736,7.158662342,6.62070102,6.12552633,5.738586657,5.532120468,5.561970292,5.841517807,6.334145214,6.97163012,7.681464716,8.404461948,9.099325513,9.739993444,10.3111623,10.80443623,11.21563863,11.54311398,11.78671732,11.94724289,12.02612426,12.02530247,11.94720185,11.79478026,11.57163764,11.28217717,10.93182082,10.52728645,10.07693822,9.591224609,9.083214585,8.56922004,8.0694273,7.608316139,7.214403657,6.918595297,6.75045686,6.732495928,6.874103691,7.168045742,7.591639708,8.112079669,8.69313921,9.300538367,9.904865317,10.48237885,11.0145454,11.48705131,11.8887312,12.21060664,12.44508528,12.58530375,12.62457222,12.55587243,12.3713592,12.06181373,11.61599142,11.01980141
0.126325068,2.145089294,3.795990947,5.143108455,6.242646743,7.136481776,7.854984097,8.420301755,8.848819226,9.152852619,9.341806908,9.422984158,9.402182862,9.284200278,9.073346096,8.774098731,8.392089426,7.935686363,7.418549792,6.863529934,6.307837708,5.807801044,5.438118811,5.27764927,5.379863057,5.7450684,6.319955937,7.025000955,7.784452364,8.541176676,9.25779166,9.912056769,10.49173905,10.99073001,11.40652301,11.73869823,11.98805873,12.15616365,12.24509912,12.25739323,12.19602323,12.06448882,11.86694159,11.60837167,11.29486038,10.9339132,10.53488752,10.10952001,9.672524757,9.242157925,8.840508525,8.493089788,8.2271742,8.068472636,8.036456152,8.139722886,8.373481371,8.720509405,9.155109768,9.648141853,10.17122597,10.69924788,11.21128093,11.69047635,12.12345791,12.4995737,12.81018287,13.04804124,13.20679032,13.28052915,13.26343939,13.14943145,12.93177731,12.60269005,12.15279741,11.57043258,10.84061907
1.716460587,3.456922434,4.860978762,5.997751583,6.916046565,7.650161193,8.224588505,8.657163614,8.961103787,9.146343983,9.220439171,9.18921466,9.057299737,8.82867052,8.507353686,8.0985094,7.610226118,7.056503506,6.461942271,5.86814319,5.339686474,4.962861219,4.826514799,4.984161931,5.423180878,6.072388641,6.839782824,7.645459235,8.433567366,9.170005591,9.835891852,10.42175429,10.92356471,11.34032773,11.67270643,11.92227605,12.09114398,12.18178176,12.19698387,12.1399093,12.01418727,11.82408487,11.57474603,11.27251978,10.92539933,10.54358814,10.14018071,9.731875751,9.339503774,8.987948428,8.704855679,8.517588344,8.448508761,8.509854119,8.700417172,9.005797743,9.402093093,9.861110783,10.35494493,10.85880011,11.35209029,11.81838946,12.24482903,12.62133964,12.93993791,13.19412957,13.37843514,13.4880177,13.51838591,13.46514655,13.32378422,13.08944858,12.75673081,12.3194096,11.77014307,11.10007399,10.29829986
3.045780649,4.512077013,5.691374861,6.639768442,7.395573079,7.985583611,8.42895932,8.739629333,8.927813429,9.001017092,8.964723913,8.82294255,8.578748968,8.234993299,7.795424141,7.266640562,6.661515978,6.004927204,5.34219323,4.747961719,4.326260455,4.18538974,4.385558093,4.899708539,5.631929632,6.471610836,7.331523148,8.156069328,8.914400144,9.591322004,10.1805348,10.68047509,11.09197949,11.41704016,11.6581756,11.81813987,11.89981933,11.90623896,11.84064234,11.7066351,11.50839841,11.25099264,10.94078128,10.58600934,10.19755937,9.789861153,9.381815479,8.99737581,8.66513404,8.416062106,8.278889058,8.273822955,8.407013713,8.668684811,9.036053406,9.479315933,9.967698263,10.47353378,10.9740234,11.45134656,11.89195366,12.28562294,12.62457771,12.90276812,13.11532568,13.25816162,13.32767359,13.32052911,13.23350184,13.06334408,12.80668542,12.45995271,12.01931299,11.48064716,10.83957235,10.0915449,9.232098214
4.117430873,5.339809977,6.319594434,7.099370425,7.708335697,8.166989951,8.489930663,8.687567472,8.767208862,8.733786682,8.590394087,8.33878478,7.980007486,7.515443951,6.948718639,6.289302051,5.559099365,4.803361228,4.104674775,3.588956799,3.3972448,3.611273454,4.193111536,5.014723064,5.938385456,6.864643933,7.736141809,8.524647301,9.218553967,9.814814877,10.31446115,10.72028769,11.03571796,11.26428306,11.40941637,11.474413,11.46248239,11.37686625,11.22102046,10.99887848,10.71523047,10.37626721,9.990346858,9.569030623,9.128366845,8.690223414,8.28311355,7.941467694,7.702037471,7.5968752,7.644641377,7.844495738,8.176423212,8.607771625,9.101933827,9.625076794,10.14942806,10.65381167,11.12275069,11.54513717,11.91298243,12.22042379,12.46299779,12.63713149,12.73979395,12.76825979,12.7199501,12.59232843,12.38284033,12.08889466,11.70789488,11.23734061,10.67503716,10.01947453,9.2704726,8.430231961,7.504967645
4.97229653,5.984171641,6.788240129,7.416471944,7.890951985,8.227131089,8.435766328,8.524117067,8.496710609,8.355871251,8.1021623,7.73490623,7.253038631,6.656768075,5.950952633,5.15186006,4.299772061,3.478505159,2.83200684,2.541687848,2.728863593,3.355711293,4.258905887,5.266572358,6.262717494,7.186343831,8.011004203,8.728214221,9.337850469,9.843267748,10.248975,10.55959024,10.77941372,10.91229612,10.96164974,10.9305364,10.82181155,10.63833215,10.38325813,10.06050094,9.675399401,9.235729805,8.753164395,8.245225635,7.737528654,7.265492958,6.873709183,6.610436676,6.516116755,6.609619276,6.880638826,7.294037006,7.80272942,8.360483987,8.92920449,9.480729205,9.995577624,10.46075542,10.86769573,11.21067778,11.48572248,11.68985887,11.82064961,11.87588765,11.85340409,11.75094991,11.56613178,11.29639733,10.93907985,10.49153105,9.951397762,9.317141334,8.588965255,7.770412399,6.870996722,5.910232972,4.922968637
5.650889652,6.483786316,7.134437612,7.626796427,7.977371601,8.1974507,8.294439476,8.272692003,8.134048411,7.878232329,7.503260555,7.006094228,6.383970004,5.637319975,4.776137233,3.833146305,2.88756485,2.093880075,1.67373389,1.801705584,2.452408752,3.425988989,4.51112229,5.572817954,6.54593601,7.405766255,8.146867849,8.771884582,9.286293767,9.696096039,10.00686794,10.22342665,10.34976369,10.38909553,10.34396979,10.21641147,10.00812246,9.720772849,9.356454581,8.918413634,8.412240537,7.847770546,7.241964208,6.622818563,6.033477973,5.533664178,5.192969438,5.071695858,5.195388274,5.541793295,6.05240172,6.657726165,7.297225509,7.926755395,8.517487308,9.051863986,9.51964724,9.914983799,10.2344694,10.4759433,10.63775747,10.71833598,10.71590549,10.62832527,10.45297637,10.18669302,9.825738859,9.365855454,8.802449376,8.131056515,7.348359598,6.454293283,5.456214776,4.376688691,3.266365895,2.2196747,1.377799085
